"race_no","going","rating","winning_odds","actual_weight","on_date_weight","draw","race_class","distance","course","race_location","track","raceday","racemonth","raceyear","finish_time","predtime"
1,"G",39,14,133,1021,1,"5",1400,"A","ST","Turf",24,4,2016,83.68,82.8807804217745
1,"G",37,10,131,1019,3,"5",1200,"B","HV","Turf",18,5,2016,70.62,71.4844182177066
4,"GF",35,16,129,1027,8,"5",1400,"A+3","ST","Turf",1,7,2016,82.3,83.5884361128279
1,"G",33,84,117,1034,13,"5",1200,"B","ST","Turf",3,9,2016,70.48,72.7864801768334
3,"GF",31,73,119,1041,4,"5",1400,"A","ST","Turf",25,9,2016,83.26,83.5082350094748
7,"Y",72,91,124,1062,5,"3",1200,"C","ST","Turf",21,6,2015,72.54,70.3361152152685
10,"GF",72,99,121,1053,13,"3",1200,"A","ST","Turf",1,7,2015,70.72,72.1232394980638
8,"GF",68,99,125,1075,6,"3",1200,"C","ST","Turf",13,9,2015,70.45,70.0409338382089
6,"G",67,99,124,1075,5,"3",1200,"A+3","ST","Turf",1,10,2015,70.44,70.5689800648605
9,"G",65,99,122,1081,11,"3",1200,"A+3","ST","Turf",14,11,2015,70.95,71.7412418899491
8,"G",62,99,120,1080,14,"3",1400,"C+3","ST","Turf",19,12,2015,82.51,81.8191033486509
9,"G",61,20,115,1090,1,"3",1400,"C","ST","Turf",9,1,2016,82.83,82.3243125973336
6,"G",59,19,133,1091,2,"4",1400,"A+3","ST","Turf",31,1,2016,83.68,83.5319106251277
1,"G",57,14,132,1086,7,"4",1000,"C","HV","Turf",24,2,2016,59.02,60.4407868711088
5,"G",55,30,129,1081,10,"4",1000,"C+3","HV","Turf",2,3,2016,58.71,62.4253593557797
2,"G",52,12,127,1083,1,"4",1000,"B","HV","Turf",16,3,2016,57.86,60.518225612205
2,"GY",51,25,124,1082,12,"4",1200,"A","HV","Turf",13,4,2016,71.2,71.0535065377592
2,"G",49,9.4,122,1078,6,"4",1000,"C+3","HV","Turf",4,5,2016,58.2,60.2972799693618
4,"G",47,15,123,1071,10,"4",1000,"C+3","ST","Turf",14,5,2016,57.04,64.0392222686052
2,"GF",45,28,118,1081,9,"4",1200,"A","ST","Turf",26,6,2016,70.41,71.4913837372447
1,"G",40,6.3,133,1091,4,"5",1000,"C","ST","Turf",11,9,2016,58.1,64.7049214691717
6,"GD",67,67,113,1100,12,"3",1200,"-","ST","AWT",27,5,2015,73.33,70.8844342494912
5,"GY",65,99,115,1091,12,"3",1000,"C","HV","Turf",20,1,2016,60,61.9654849662959
8,"G",63,99,115,1090,6,"3",1000,"B+2","ST","Turf",6,2,2016,58.35,63.0005776220216
4,"GD",60,99,113,1091,3,"3",1200,"-","ST","AWT",28,2,2016,70.82,71.2002490696182
6,"GY",56,99,124,1064,12,"4",1000,"C","ST","Turf",10,4,2016,58.21,64.5211948753593
2,"G",52,99,127,1061,11,"4",1000,"C","HV","Turf",27,4,2016,58.53,60.7539262278884
4,"G",47,99,118,1061,13,"4",1000,"C+3","ST","Turf",14,5,2016,58.23,64.6131445339114
2,"G",42,99,117,1056,12,"4",1200,"C+3","HV","Turf",1,6,2016,72.21,70.2745679203787
7,"GY",82,8.8,130,1084,10,"3",1000,"B+2","ST","Turf",9,5,2015,58.67,62.9185994112105
9,"GF",82,10,132,1112,4,"3",1000,"B+2","ST","Turf",14,6,2015,55.96,64.3696354283991
6,"GF",83,2.5,133,1112,12,"3",1000,"C+3","ST","Turf",27,6,2015,55.72,61.8329443604933
10,"G",83,4.6,115,1113,1,"2",1200,"A","HV","Turf",1,11,2015,70.3,70.956844834335
3,"GY",85,3.3,133,1120,7,"3",1000,"A","HV","Turf",9,12,2015,57.7,61.4409262649798
4,"G",90,3.2,128,1123,6,"2",1000,"A+3","ST","Turf",31,1,2016,57.66,62.8165804558696
6,"G",90,10,113,1118,4,"1",1200,"C","HV","Turf",24,2,2016,70.42,70.9001256593576
8,"G",90,18,122,1104,2,"2",1200,"C","HV","Turf",27,4,2016,70.24,70.8139886068831
9,"G",92,10,128,1105,5,"2",1200,"B","HV","Turf",18,5,2016,70.12,70.5292887722825
10,"G",92,9.4,125,1102,6,"2",1200,"A","HV","Turf",9,6,2016,70.73,70.7563410295949
4,"GY",57,99,129,1014,1,"4",1200,"B+2","ST","Turf",4,10,2015,70.75,72.3538124881546
2,"G",57,99,130,1008,3,"4",1200,"A+3","ST","Turf",14,11,2015,71.04,71.0433337035333
1,"G",55,45,129,992,1,"4R",1400,"C+3","ST","Turf",6,12,2015,83.87,81.0723371034999
4,"G",54,3.5,129,988,2,"4",1400,"B+2","ST","Turf",1,1,2016,83.11,83.2397659117007
3,"G",52,54,125,977,4,"4",1200,"C","HV","Turf",24,2,2016,71.74,71.5250541980307
7,"GD",67,66,120,1136,2,"3",1200,"-","ST","AWT",28,9,2015,69.93,70.8437042361111
6,"G",67,99,117,1158,10,"3",1200,"C+3","ST","Turf",8,11,2015,69.7,70.0319597320553
10,"G",65,26,122,1157,3,"3",1400,"C+3","ST","Turf",6,12,2015,82.7,82.7380047644013
7,"G",63,14,116,1166,12,"3",1200,"B+2","ST","Turf",1,1,2016,69.75,70.7641870511402
8,"G",65,1.8,118,1166,2,"3",1200,"C+3","ST","Turf",17,1,2016,69.43,69.9006976940681
8,"G",73,6.4,130,1172,10,"3",1200,"A","ST","Turf",21,2,2016,70.37,70.7974397505438
6,"G",73,4.3,118,1161,2,"3",1200,"C","ST","Turf",6,3,2016,69.49,69.898713602061
8,"G",81,4.4,124,1163,5,"2",1200,"A","ST","Turf",20,3,2016,69.72,70.5071673136298
3,"G",90,3.6,112,1146,2,"2",1000,"C","ST","Turf",7,5,2016,56.29,61.0045571970697
6,"G",52,5.5,125,1182,7,"4",1200,"C+3","ST","Turf",24,5,2015,70.91,71.2256784257148
4,"GF",52,51,125,1170,10,"4",1650,"B","HV","Turf",10,6,2015,100.7,101.876558089681
6,"Y",51,6.8,124,1159,6,"4",1800,"C","ST","Turf",21,6,2015,112.44,107.772237444987
6,"GF",49,5.7,122,1164,7,"4",1600,"A+3","ST","Turf",5,7,2015,95.15,98.0849540769576
2,"G",50,3.3,123,1187,7,"4",1650,"C","HV","Turf",23,9,2015,102.11,101.032114575157
2,"GF",52,66,120,1117,3,"4",1000,"A","ST","Turf",31,5,2015,57.12,61.7581388742134
3,"GF",52,23,123,1106,7,"4",1200,"A","HV","Turf",8,7,2015,72.37,70.8639577616674
4,"G",48,54,123,1120,10,"4",1000,"B","HV","Turf",16,9,2015,60.2,62.2176955746867
5,"G",46,99,114,1114,3,"4",1400,"A+3","ST","Turf",1,10,2015,84.23,83.568993494551
2,"G",43,98,114,1120,6,"4",1200,"C+3","HV","Turf",22,10,2015,72.7,70.2093106981392
1,"G",40,27,133,1108,10,"5",1200,"A+3","ST","Turf",27,12,2015,71.1,72.3978894261753
2,"WS",40,13,133,1098,11,"5",1200,"-","ST","AWT",17,1,2016,70.41,72.8027548559262
5,"G",45,35,117,1098,8,"4",1200,"A","HV","Turf",3,2,2016,71.96,71.4678143413199
7,"GD",45,17,118,1104,8,"4",1200,"-","ST","AWT",28,3,2016,69.98,71.9896404167806
4,"GD",45,15,121,1100,2,"4",1200,"-","ST","AWT",16,4,2016,70.26,71.5809951571935
4,"G",45,32,116,1096,2,"4",1200,"B","HV","Turf",18,5,2016,70.41,71.4581046754561
1,"FT",43,11,115,1080,11,"4",1200,"-","ST","AWT",5,6,2016,69.71,71.179033320428
2,"GD",41,8.1,114,1088,1,"4",1200,"-","ST","AWT",19,6,2016,69.23,71.1078868223496
3,"GD",42,4.3,109,1084,5,"4",1200,"-","ST","AWT",1,7,2016,69.95,71.1712844919702
2,"G",42,71,113,1094,8,"4",1200,"C","ST","Turf",11,9,2016,71.05,70.322161957811
2,"G",42,44,113,1077,4,"4",1200,"C+3","HV","Turf",28,9,2016,71.29,70.6258637696556
10,"GF",66,99,120,1120,4,"3",1200,"A+3","ST","Turf",7,6,2015,70.59,71.9934076386081
10,"GF",66,99,118,1114,10,"3",1200,"A","ST","Turf",1,7,2015,70.45,72.2570799093623
8,"G",62,64,115,1132,5,"3",1200,"C","HV","Turf",23,9,2015,71.2,71.0455700372967
4,"GY",60,34,131,1137,11,"4",1200,"A","HV","Turf",7,10,2015,71.94,71.6642863477098
8,"G",67,98,120,1114,6,"3",1200,"A","HV","Turf",1,11,2015,71.4,70.9843107177659
6,"Y",67,75,118,1121,4,"3",1200,"A","HV","Turf",9,12,2015,71.55,71.1755586548974
7,"G",65,19,120,1101,7,"3",1650,"A","HV","Turf",3,2,2016,101.32,101.596925278472
8,"GY",70,6.7,123,1096,4,"3",1650,"A","HV","Turf",9,3,2016,101.02,102.055026761345
9,"GY",76,6.5,133,1098,11,"3",1650,"A","HV","Turf",13,4,2016,100.84,101.91874272106
8,"G",78,4.6,126,1093,4,"3",1650,"C+3","HV","Turf",4,5,2016,101.05,101.678546291452
7,"GF",78,11,132,1092,7,"3",1800,"A","ST","Turf",22,5,2016,107.61,107.14309139645
8,"GF",78,13,131,1083,6,"3",1600,"B+2","ST","Turf",5,6,2016,95.37,97.8623880339809
4,"G",77,13,132,1091,10,"3",1800,"A","HV","Turf",6,7,2016,111.5,107.188942165732
10,"G",76,20,122,1098,10,"3",1600,"C","ST","Turf",11,9,2016,95.9,97.203591643665
7,"Y",72,24,129,1183,3,"3",1200,"C","ST","Turf",21,6,2015,72.12,70.3223795626709
4,"GF",72,99,129,1180,8,"3",1200,"B+2","ST","Turf",12,7,2015,69.77,70.7922903448869
9,"GY",70,24,127,1187,13,"3",1000,"B+2","ST","Turf",4,10,2015,60.23,64.43925805261
4,"GF",69,99,124,1190,14,"3",1200,"A","ST","Turf",25,10,2015,70.82,70.8092248035645
9,"G",67,99,120,1194,1,"3",1400,"B+2","ST","Turf",21,11,2015,82.43,82.6966614488056
2,"G",65,86,122,1194,2,"3",1800,"A","ST","Turf",13,12,2015,109.46,105.308882614355
11,"G",63,99,116,1199,5,"3",1400,"A+3","ST","Turf",31,1,2016,83.74,82.8274216705735
4,"G",60,43,133,1202,13,"4",1600,"A","ST","Turf",20,3,2016,96.6,98.8478641064545
6,"GY",57,90,130,1201,1,"4",1600,"A","ST","Turf",24,4,2016,97.8,98.9000065088054
5,"GF",56,13,130,1195,4,"4",1600,"A","ST","Turf",22,5,2016,94.87,98.6184456172803
4,"GF",55,12,129,1199,4,"4",1600,"C+3","ST","Turf",19,6,2016,94.31,98.48264218168
9,"GY",65,98,122,1140,9,"3",1000,"B+2","ST","Turf",4,10,2015,58.89,65.0360538807413
7,"GD",65,99,120,1151,4,"3",1200,"-","ST","AWT",6,12,2015,71.4,70.8010359407565
9,"G",63,99,120,1151,2,"3",1000,"A+3","ST","Turf",27,12,2015,60.79,64.9348073634624
7,"G",69,62,123,1021,12,"3",1200,"B","HV","Turf",16,9,2015,71.33,71.126358378969
7,"GD",69,25,124,1011,1,"3",1200,"-","ST","AWT",28,9,2015,69.33,71.0669918059297
10,"G",67,45,121,1008,7,"3",1400,"C","ST","Turf",10,10,2015,83.03,82.9638505554231
9,"G",65,99,118,1008,13,"3",1400,"C+3","ST","Turf",8,11,2015,83.15,82.9285499425602
9,"G",63,99,117,1015,7,"3",1600,"C","ST","Turf",29,11,2015,95.97,97.8333904077526
7,"G",61,38,116,1008,8,"3",1650,"B","HV","Turf",16,12,2015,101.43,101.898721900109
4,"G",59,5.7,133,1009,3,"4",1650,"A","HV","Turf",6,1,2016,102.8,102.538764059298
3,"G",57,6.7,131,1001,11,"4",1400,"A","ST","Turf",21,2,2016,84.71,82.377939407822
1,"G",55,12,128,1025,8,"4",1200,"A+3","ST","Turf",29,5,2016,69.89,70.8054885003897
5,"GY",53,11,126,1017,5,"4",1400,"C","ST","Turf",12,6,2016,83.04,83.7932416096413
2,"GF",51,8.8,124,1015,7,"4",1200,"A","ST","Turf",26,6,2016,69.56,71.6659533945579
2,"GF",49,12,122,1009,9,"4",1000,"A+3","ST","Turf",1,7,2016,56.89,61.7392001932848
5,"G",46,22,122,1031,2,"4",1000,"C+3","HV","Turf",28,9,2016,58.15,63.3015427468295
5,"G",72,3.2,127,1102,11,"3",1200,"C","ST","Turf",16,5,2015,68.95,70.0245126720607
10,"GF",81,1.6,116,1113,2,"2",1400,"C+3","ST","Turf",27,6,2015,81.02,82.1155522588361
11,"GF",92,1.6,126,1115,7,"2",1400,"B+2","ST","Turf",12,7,2015,80.88,81.9999393695422
8,"G",101,2.3,124,1109,1,"1",1400,"A+3","ST","Turf",14,11,2015,81.99,81.6784284053562
9,"G",103,2,124,1129,9,"1",1400,"A","ST","Turf",13,12,2015,82.25,81.8315974623974
10,"G",110,9.2,126,1129,14,"HKG1",1600,"A","ST","Turf",24,1,2016,95.05,98.7802990074976
7,"G",110,3.4,126,1134,3,"HKG1",1800,"A","ST","Turf",21,2,2016,108.01,107.688303762295
9,"G",110,4.2,126,1133,4,"HKG1",2000,"A","ST","Turf",20,3,2016,122.62,119.054751406108
8,"GF",110,1.6,118,1120,1,"HKG3",1400,"C+3","ST","Turf",19,6,2016,81.61,81.0486596380746
7,"GD",83,55,130,1247,9,"3",1200,"-","ST","AWT",6,2,2016,69.83,70.6633358150943
7,"G",83,74,112,1224,3,"2",1200,"C+3","ST","Turf",14,2,2016,70.1,69.4381189457906
8,"G",81,47,122,1170,13,"2",1200,"A","ST","Turf",20,3,2016,70.58,70.5000350633048
6,"GD",79,54,116,1142,10,"2",1200,"-","ST","AWT",6,4,2016,69.62,70.5697350818898
