"race_no","going","rating","winning_odds","actual_weight","on_date_weight","draw","race_class","distance","course","race_location","track","raceday","racemonth","raceyear","finish_time","predtime"
1,"GF",30,7.7,123,1139,7,"5",1800,"C","ST","Turf",1,1,2015,109.51,106.236552992028
1,"FT",29,12,122,1140,2,"5",1650,"-","ST","AWT",25,1,2015,99.96,100.281266496077
1,"GF",27,12,121,1124,8,"5",1600,"A","ST","Turf",15,2,2015,96.55,97.8797170991755
1,"G",17,23,111,1030,6,"5",1800,"B","HV","Turf",14,1,2015,111.2,107.673301179696
6,"G",44,37,120,1028,7,"4",1400,"C","ST","Turf",12,4,2015,82.84,83.6145922011971
4,"GF",44,31,117,1018,6,"4",1400,"B+2","ST","Turf",9,5,2015,84,83.0369912549569
4,"G",42,28,118,1022,12,"4",1400,"C","ST","Turf",16,5,2015,83.4,83.4915831957089
5,"GF",41,23,111,1012,1,"4",1400,"A","ST","Turf",31,5,2015,83.55,83.5389161752568
2,"GF",39,8.2,132,1009,11,"5",1400,"B+2","ST","Turf",14,6,2015,82.66,83.2765725775637
7,"GF",40,29,113,1022,8,"4",1400,"B+2","ST","Turf",12,7,2015,82.92,83.2531648627127
5,"GF",44,51,116,1114,8,"4",1600,"A+3","ST","Turf",18,1,2015,96.69,98.9517151273951
4,"G",42,49,108,1122,5,"4",1600,"A","ST","Turf",15,3,2015,97.1,98.9202623794446
1,"GF",40,16,133,1122,11,"5",1400,"B+2","ST","Turf",7,4,2015,83.26,82.2519827090825
4,"GF",41,16,104,1103,1,"4",1400,"C+3","ST","Turf",19,4,2015,84.19,83.1446615461004
5,"GF",41,28,109,1092,5,"4",1600,"A+3","ST","Turf",3,5,2015,96.5,98.7948725927561
1,"GF",39,12,133,1119,3,"5",1600,"A","ST","Turf",31,5,2015,95.46,98.3134662203697
1,"GF",39,13,133,1100,7,"5",2200,"B","HV","Turf",11,2,2015,139.26,127.463675173205
1,"GF",39,58,127,1103,7,"5",2000,"B+2","ST","Turf",1,3,2015,125.07,117.768894169318
2,"G",53,46,126,1083,12,"4",1000,"A","HV","Turf",7,1,2015,58.22,60.9770507907619
2,"G",51,10,122,1085,6,"4",1000,"C","HV","Turf",25,2,2015,57.76,60.8389939897691
2,"G",53,9.6,127,1075,7,"4",1000,"B","HV","Turf",11,3,2015,58.11,60.5624401546356
2,"GF",53,9.6,126,1072,4,"4",1000,"A","HV","Turf",1,4,2015,57.45,60.7370297066223
3,"GF",52,11,124,1076,4,"4",1000,"C+3","HV","Turf",29,4,2015,57.64,60.8314460047112
2,"G",50,11,116,1076,10,"4",1000,"C","ST","Turf",16,5,2015,57.43,60.7597955222112
2,"GF",48,18,121,1079,11,"4",1000,"A","ST","Turf",31,5,2015,57.03,61.8892946073046
2,"GF",46,31,110,1074,8,"4",1200,"C","HV","Turf",17,6,2015,70.32,70.7179214247924
2,"GF",44,43,117,1074,12,"4",1000,"C+3","ST","Turf",27,6,2015,55.93,61.4342232523061
2,"G",49,33,120,1078,6,"4",1000,"B","ST","Turf",6,9,2015,56.91,61.46256603197
5,"G",49,28,112,1090,8,"4",1200,"C","HV","Turf",23,9,2015,72.16,71.2895424980608
2,"GY",49,19,113,1097,4,"4",1000,"B+2","ST","Turf",4,10,2015,58.92,62.526624447006
3,"GF",23,65,116,1118,5,"5",1400,"C","ST","Turf",1,1,2015,83.15,84.0042991800568
1,"FT",22,10,113,1109,3,"5",1200,"-","ST","AWT",25,3,2015,68.69,72.2381771421556
1,"GF",23,9,114,1109,8,"5",1400,"B+2","ST","Turf",7,4,2015,83.52,82.2483453056333
1,"FT",23,6.7,114,1098,2,"5",1200,"-","ST","AWT",16,5,2015,69.13,72.1243459636871
1,"GD",28,7,121,1121,5,"5",1200,"-","ST","AWT",27,6,2015,69.71,72.2798736386859
2,"GD",28,18,119,1125,4,"5",1200,"-","ST","AWT",10,10,2015,69.76,71.9746722487497
1,"G",28,41,120,1118,6,"5",1200,"A+3","ST","Turf",14,11,2015,70.9,72.6423853897425
2,"GD",28,20,119,1102,10,"5",1200,"-","ST","AWT",6,12,2015,70.93,72.0934945099243
2,"WS",28,8.9,119,1112,7,"5",1200,"-","ST","AWT",17,1,2016,70.81,72.7637781511889
1,"G",27,10,121,1109,3,"5",1200,"C","ST","Turf",10,2,2016,70.75,72.1875672718133
1,"GY",27,24,118,1107,8,"5",1200,"A","HV","Turf",9,3,2016,71.26,71.6754373779036
1,"GD",25,21,116,1102,12,"5",1200,"-","ST","AWT",28,3,2016,69.59,72.5585112533185
3,"GY",30,28,122,1098,8,"5",1200,"C","ST","Turf",10,4,2016,70.97,73.027734426182
2,"WF",30,11,121,1095,3,"5",1650,"-","ST","AWT",12,6,2016,100.18,100.528973613604
8,"GF",79,96,128,1114,4,"3",1000,"A","ST","Turf",10,1,2015,58.09,63.0202836584276
6,"GD",77,84,125,1112,6,"3",1200,"-","ST","AWT",7,2,2015,69.39,70.8946472034961
7,"G",74,24,122,1082,7,"3",1650,"C","HV","Turf",18,3,2015,100.64,101.639010931554
10,"G",72,24,122,1105,6,"3",1400,"C","ST","Turf",12,4,2015,82.33,82.6753714730186
8,"G",70,24,122,1113,10,"3",1400,"C+3","ST","Turf",24,5,2015,83.65,81.45514001528
10,"GF",67,38,118,1113,13,"3",1600,"B+2","ST","Turf",14,6,2015,95.46,97.1408343963249
6,"G",64,9.9,113,1088,1,"3S",1650,"C+3","HV","Turf",24,6,2015,101.72,102.05015108957
6,"GF",59,13,132,1102,7,"4",1600,"C+3","ST","Turf",18,10,2015,95.64,98.6826591422328
4,"G",59,10,132,1092,10,"4",1650,"B","HV","Turf",11,11,2015,102.41,102.228225750279
5,"G",57,9.8,121,1088,3,"4",1650,"C","HV","Turf",25,11,2015,102.74,102.443522830995
4,"G",55,23,130,1085,5,"4",1600,"C+3","ST","Turf",19,12,2015,96.24,99.2426534597422
2,"G",52,12,124,1049,8,"4",1650,"B","HV","Turf",13,1,2016,102.83,101.162472621758
2,"G",50,9,123,1074,9,"4",1800,"A","HV","Turf",3,2,2016,115.44,107.023468383005
5,"GY",48,43,121,1081,12,"4",1800,"A","HV","Turf",9,3,2016,113.01,108.635693389451
5,"GD",45,59,117,1089,14,"4",1800,"-","ST","AWT",6,4,2016,110.58,108.315208433649
2,"GF",57,13,130,1112,2,"4",2000,"B+2","ST","Turf",25,1,2015,123.76,118.530816133932
2,"G",55,22,128,1114,3,"4",1800,"A","ST","Turf",15,2,2015,111.08,106.38557847092
2,"FT",53,24,126,1117,9,"4",1800,"-","ST","AWT",25,3,2015,109.14,106.497101184227
2,"GF",51,55,128,1102,10,"4",2000,"B+2","ST","Turf",7,4,2015,124.17,118.199649355131
5,"GF",49,84,122,1112,11,"4",2200,"C+3","HV","Turf",29,4,2015,139,130.202351872788
2,"GD",46,49,117,1131,10,"4",1650,"-","ST","AWT",27,5,2015,99.75,100.172262972536
6,"GD",45,32,118,1123,8,"4",1650,"-","ST","AWT",1,7,2015,98.83,100.812196029392
6,"WF",62,98,116,990,13,"3",1650,"-","ST","AWT",15,2,2015,101.77,100.705344141607
1,"G",19,10,111,1091,9,"5",1650,"C+3","HV","Turf",28,1,2015,101.51,102.961488320324
3,"G",19,4.6,113,1106,1,"5",1650,"A","HV","Turf",4,3,2015,101.89,103.009619661172
1,"GF",20,17,113,1096,8,"5",1800,"A","HV","Turf",1,4,2015,111.83,107.155303709474
4,"GF",20,23,112,1098,7,"5",1650,"C+3","HV","Turf",29,4,2015,101.9,103.598296422136
1,"GD",18,53,111,1087,7,"5",1650,"-","ST","AWT",9,5,2015,100.35,100.106750114322
2,"GF",17,24,113,1084,4,"5",1650,"B","HV","Turf",10,6,2015,100.86,102.219054262653
2,"G",22,17,115,1087,8,"5",1650,"C+3","HV","Turf",24,6,2015,100.86,103.264392274942
4,"G",20,26,114,1073,3,"5",1650,"A","HV","Turf",9,9,2015,103.38,102.942289695514
4,"GF",20,74,113,1081,3,"5",1800,"C+3","ST","Turf",18,10,2015,109.32,107.768221743119
1,"G",18,45,114,1083,12,"5",1800,"A","HV","Turf",1,11,2015,112.16,108.279375662644
4,"G",17,76,111,1080,10,"5",1800,"C","HV","Turf",25,11,2015,112.26,108.840683702482
1,"G",20,10,113,1075,6,"5",1800,"B","HV","Turf",16,12,2015,111.31,107.941004620637
4,"G",25,13,118,1069,3,"5",1650,"B","HV","Turf",13,1,2016,103.49,102.877533764836
2,"G",25,43,119,1069,12,"5",1800,"B","HV","Turf",17,2,2016,112.13,108.348440799902
1,"G",25,38,117,1066,6,"5",1800,"C+3","HV","Turf",2,3,2016,111.39,107.792062513169
1,"G",24,26,115,1064,3,"5",1800,"B","HV","Turf",20,4,2016,111.81,107.285444681182
2,"G",22,59,117,1054,1,"5",2200,"B","ST","Turf",1,5,2016,138.08,123.940394412213
1,"GD",22,51,113,1057,11,"5",1800,"-","ST","AWT",26,6,2016,111.69,106.917920108999
1,"GD",23,43,114,1153,10,"5",1200,"-","ST","AWT",7,2,2015,70.36,72.1727937148064
1,"GF",21,16,113,1151,10,"5",1000,"C","HV","Turf",22,4,2015,59.38,63.4406550980646
1,"GF",18,51,111,1158,8,"5",1000,"C","HV","Turf",17,6,2015,58.16,63.8555455850533
8,"GF",125,15,126,1183,3,"G1",1600,"B+2","ST","Turf",25,1,2015,94.03,100.075776676443
7,"G",123,25,126,1189,8,"G1",1400,"A","ST","Turf",15,3,2015,81.87,84.0469121649943
1,"G",32,16,124,1112,3,"5",1650,"A","HV","Turf",7,1,2015,102.15,102.392399077362
1,"G",36,35,127,1115,12,"5",1650,"A","HV","Turf",4,2,2015,102.7,102.74483911095
1,"G",36,32,128,1126,10,"5",1650,"C","HV","Turf",18,3,2015,101.25,101.929575650711
1,"GY",36,34,128,1097,11,"5",1650,"C","HV","Turf",20,5,2015,102.39,101.887743562886
2,"G",35,21,126,1118,4,"5",1650,"B","HV","Turf",14,10,2015,103.51,102.96780059672
2,"G",34,18,125,1112,6,"5",1650,"C+3","HV","Turf",2,12,2015,102.38,104.203161441522
2,"G",32,51,125,1141,12,"5",1600,"C","ST","Turf",10,2,2016,97.77,98.2872822865378
4,"G",30,32,121,1111,10,"5",1650,"B","HV","Turf",16,3,2016,103.16,102.892964763893
4,"GY",28,24,120,1104,7,"5",1650,"A","HV","Turf",13,4,2016,103.37,103.223896935926
1,"G",25,30,116,1101,4,"5",1650,"C+3","HV","Turf",4,5,2016,102.01,102.724162683447
6,"GF",50,99,121,1084,8,"4",1400,"A+3","ST","Turf",18,1,2015,84.87,83.5115539204718
5,"GF",46,99,117,1069,9,"4",1200,"C","ST","Turf",1,2,2015,71.46,71.656676697837
3,"G",44,99,117,1060,12,"4",1400,"A","ST","Turf",15,2,2015,84.55,82.9212905593983
2,"GD",41,81,112,1060,6,"4",1200,"-","ST","AWT",1,3,2015,69.92,71.5366364717117
2,"GF",38,43,129,1073,8,"5",1400,"B+2","ST","Turf",14,6,2015,85.18,83.2399195867069
2,"GF",34,62,129,1063,5,"5",1400,"A","ST","Turf",1,7,2015,84.39,83.1570699540364
8,"GF",71,12,124,1160,10,"3",1000,"C","ST","Turf",1,1,2015,56.52,62.1144796783113
8,"GF",77,24,129,1165,5,"3",1000,"A","ST","Turf",10,1,2015,56.63,62.7248575171567
6,"GF",77,32,123,1173,8,"3",1000,"C","ST","Turf",1,2,2015,56.71,61.8282173589215
8,"GF",77,16,115,1173,9,"3",1000,"C+3","ST","Turf",8,3,2015,56.52,61.5979459386525
6,"G",80,10,123,1164,6,"3",1000,"C+3","ST","Turf",21,3,2015,56.99,61.7640399765559
9,"GF",86,15,112,1160,7,"2",1000,"A+3","ST","Turf",3,5,2015,55.93,63.5397399472354
3,"GD",50,20,123,1265,1,"4",1200,"-","ST","AWT",4,1,2015,70.18,71.1081679188966
3,"FT",48,32,121,1281,2,"4",1200,"-","ST","AWT",25,1,2015,71.45,71.3273314085281
4,"GD",45,37,118,1289,2,"4",1200,"-","ST","AWT",12,4,2015,72.55,71.8964657004283
8,"GF",120,33,121,1013,7,"HKG3",1800,"C+3","ST","Turf",7,2,2015,107.5,108.91358161523
7,"GF",118,21,126,1016,8,"G1",2000,"B+2","ST","Turf",1,3,2015,122.08,119.459593716378
9,"G",117,14,123,1000,1,"HKG3",1800,"A+3","ST","Turf",29,3,2015,107.68,109.149404110312
8,"GF",115,85,126,989,7,"G1",2000,"A","ST","Turf",26,4,2015,123.52,119.084961631001
7,"G",78,26,126,1114,9,"3",1200,"A","HV","Turf",4,3,2015,71.3,70.7694753267573
8,"GF",78,46,131,1091,1,"3",1200,"A","HV","Turf",1,4,2015,70.39,70.914455778199
5,"GF",77,54,133,1091,5,"3",1200,"B","HV","Turf",15,4,2015,70.26,70.5635696937412
7,"GF",75,36,128,1096,7,"3",1200,"C+3","HV","Turf",29,4,2015,71.12,70.7419833403756
7,"GF",73,48,129,1085,8,"3",1000,"B","HV","Turf",13,5,2015,58.14,61.0702304672612
4,"GF",71,56,125,1081,9,"3",1200,"A","HV","Turf",3,6,2015,70.94,70.4048800700395
6,"GF",69,13,113,1088,1,"3",1200,"C","HV","Turf",17,6,2015,70.64,70.6789614827644
8,"G",74,50,126,1008,10,"3",1650,"B","HV","Turf",14,1,2015,101.34,101.751139398346
8,"G",74,23,127,989,12,"3",1800,"A","HV","Turf",4,3,2015,111.65,107.613440757751
1,"G",35,22,128,1135,8,"5",1200,"C","HV","Turf",21,1,2015,71.77,71.1116857842063
1,"FT",31,21,122,1107,8,"5",1650,"-","ST","AWT",25,1,2015,100.42,100.448143258737
1,"G",29,14,112,1084,5,"5",1400,"A","ST","Turf",15,3,2015,84.36,82.5625677760481
2,"G",27,42,116,1087,12,"5",1200,"C","ST","Turf",12,4,2015,72.3,73.1010606495761
1,"GF",37,7.1,130,1201,10,"5",1000,"C+3","ST","Turf",4,1,2015,57.4,64.7925021497298
1,"GF",36,7.9,129,1197,1,"5",1400,"C","ST","Turf",1,2,2015,85.8,82.4421921751455
3,"GF",60,8.2,133,1165,11,"4",1200,"A","ST","Turf",10,1,2015,70.55,71.0580154316587
7,"G",61,7.8,114,1185,9,"3",1200,"A","HV","Turf",4,2,2015,70.85,70.6224028594714
6,"G",61,46,112,1188,6,"3",1200,"A+3","ST","Turf",21,2,2015,70.73,70.8422180285734
4,"G",60,5.1,133,1184,6,"4",1200,"A","HV","Turf",4,3,2015,70.83,71.2829759071511
2,"GF",60,5.6,133,1175,11,"4",1000,"C+3","ST","Turf",8,3,2015,57.91,60.4859434544399
6,"FT",60,28,131,1195,11,"4",1200,"-","ST","AWT",25,3,2015,69.59,71.5943681982121
3,"G",60,4.6,133,1182,1,"4",1200,"A+3","ST","Turf",29,3,2015,70.22,70.9028350525425
6,"GF",59,7.2,131,1179,1,"4",1200,"B","HV","Turf",15,4,2015,70.29,71.4386177732376
2,"GF",58,2.5,133,1168,2,"4",1200,"C+3","HV","Turf",29,4,2015,70.12,69.7622885591487
6,"Y",65,27,118,1186,9,"3",1200,"C","HV","Turf",20,5,2015,73.86,71.1794844533897
8,"GF",65,13,120,1177,6,"3",1200,"C","HV","Turf",17,6,2015,70.17,70.7639490316596
4,"GF",72,28,127,1174,2,"3",1200,"B+2","ST","Turf",12,7,2015,69.6,70.6201766055957
9,"GF",66,9.6,120,1183,5,"3",1400,"C+3","ST","Turf",4,1,2015,82.52,82.2767181631154
9,"GF",68,17,123,1190,1,"3",1400,"A+3","ST","Turf",18,1,2015,83.38,82.1988160383035
6,"G",68,82,116,1123,3,"3",1000,"C+3","ST","Turf",21,3,2015,58.24,62.2610684521
9,"G",67,16,115,1166,1,"3",1400,"C","ST","Turf",16,5,2015,82.93,82.3857055052777
9,"GF",65,52,115,1175,11,"3",1400,"A+3","ST","Turf",7,6,2015,81.93,82.5516554864591
4,"GF",63,10,118,1166,5,"3",1200,"A","HV","Turf",8,7,2015,70.39,70.3824133563984
4,"GY",60,16,132,1138,3,"4",1200,"B+2","ST","Turf",4,10,2015,70.36,72.0110503403425
5,"GF",60,44,123,1140,8,"4",1400,"A","ST","Turf",25,10,2015,84.21,83.114623559748
2,"G",58,19,132,1141,5,"4",1400,"B+2","ST","Turf",21,11,2015,82.98,81.6547455920484
5,"G",56,36,127,1156,4,"4",1200,"A+3","ST","Turf",27,12,2015,70.78,72.2834711512843
2,"G",54,55,121,1153,8,"4",1650,"C","HV","Turf",20,1,2016,103.96,101.325444838211
2,"G",52,46,125,1158,3,"4",1200,"C+3","ST","Turf",14,2,2016,71.11,70.2472580409502
4,"G",49,69,122,1150,2,"4",1600,"A","ST","Turf",20,3,2016,95.47,98.8331888022919
2,"G",48,12,122,1160,7,"4",1400,"A","ST","Turf",24,4,2016,83.49,81.9267597642047
4,"G",47,33,120,1161,13,"4",1400,"A+3","ST","Turf",29,5,2016,82.99,83.2906848135246
5,"GY",45,17,118,1164,7,"4",1400,"C","ST","Turf",12,6,2016,83.51,83.694202327959
5,"GF",43,38,116,1166,6,"4",1400,"B+2","ST","Turf",10,7,2016,82.2,83.3067784106745
1,"G",39,10,128,1154,1,"5",1200,"B","ST","Turf",3,9,2016,70.27,72.1637427206487
1,"G",38,22,130,1100,4,"5",1650,"A","HV","Turf",7,1,2015,102.23,102.669060902371
4,"GF",38,39,129,1102,10,"5",1400,"A+3","ST","Turf",18,1,2015,84.34,84.0758595883118
2,"G",38,18,131,1099,3,"5",1400,"A+3","ST","Turf",21,2,2015,84.31,83.5047201948409
3,"G",36,30,128,1091,7,"5",1650,"A","HV","Turf",4,3,2015,102.49,102.99872646989
1,"G",34,21,126,1092,8,"5",1650,"C","HV","Turf",18,3,2015,101.71,101.802963922537
1,"GF",32,14,124,1088,1,"5",1000,"C","HV","Turf",22,4,2015,57.89,63.1172304357124
1,"GF",31,18,122,1068,2,"5",1200,"A","HV","Turf",3,6,2015,70.44,71.6233139292312
1,"GD",30,35,125,1064,11,"5",1200,"-","ST","AWT",27,6,2015,69.97,72.5024128955588
2,"GF",28,16,121,1069,1,"5",1200,"B+2","ST","Turf",12,7,2015,70.06,73.0408759237946
1,"G",25,15,118,1065,9,"5",1200,"B","ST","Turf",6,9,2015,70.44,72.2001058828921
1,"GF",25,8.7,121,1083,8,"5",1400,"C+3","ST","Turf",19,9,2015,84.19,82.3950520617258
3,"GY",23,16,116,1083,9,"5",1200,"B+2","ST","Turf",4,10,2015,70.44,73.5677313464364
2,"GF",23,15,116,1074,5,"5",1400,"C+3","ST","Turf",18,10,2015,83.46,82.9874302054329
2,"WS",23,23,116,1091,5,"5",1200,"-","ST","AWT",17,1,2016,71.58,72.9727655947141
1,"G",21,39,114,1065,12,"5",1000,"B","HV","Turf",16,3,2016,58.4,63.1834478473413
1,"G",19,18,113,1060,7,"5",1400,"A","ST","Turf",24,4,2016,83.22,82.7929767865157
1,"G",19,8.3,113,1057,1,"5",1200,"B","HV","Turf",18,5,2016,70.51,71.4994027732135
3,"Y",19,10,113,1046,9,"5",1400,"C","ST","Turf",12,6,2016,85.29,83.8368774859305
1,"GF",21,16,114,1083,14,"5",1000,"C+3","ST","Turf",4,1,2015,57.58,65.451111570482
1,"GD",20,24,111,1087,2,"5",1200,"-","ST","AWT",10,1,2015,70.77,71.9711135784793
2,"G",18,27,111,1069,9,"5",1000,"A","HV","Turf",4,2,2015,57.97,65.0700347672355
1,"G",20,14,111,1073,9,"5",1200,"C","HV","Turf",25,2,2015,71.19,71.6094711101177
1,"G",20,16,112,1083,7,"5",1000,"A","HV","Turf",4,3,2015,57.94,63.3043822785498
2,"G",19,26,115,1071,7,"5",1200,"A+3","ST","Turf",29,3,2015,70.97,73.7180120724711
8,"GF",65,99,118,1108,1,"3",1000,"C","ST","Turf",1,1,2015,57,62.3211119273041
6,"G",64,14,119,1106,1,"3",1000,"B","HV","Turf",14,1,2015,58,61.1992296425657
6,"GF",62,47,111,1102,10,"3",1000,"C","ST","Turf",1,2,2015,57.29,62.3127330207936
2,"G",60,13,133,1096,5,"4",1000,"C","HV","Turf",25,2,2015,58.1,60.9236940735248
2,"GF",58,13,131,1084,10,"4",1000,"A","HV","Turf",1,4,2015,57.34,60.723363877158
1,"GF",57,21,132,1083,11,"4",1200,"B","HV","Turf",10,6,2015,71.49,70.1995290594835
5,"FT",55,46,126,1078,10,"4",1200,"-","ST","AWT",5,7,2015,69.66,71.6033509742119
2,"G",51,36,124,1096,10,"4",1200,"B","HV","Turf",16,9,2015,72.89,70.7967950603656
2,"GY",49,21,123,1091,14,"4",1000,"B+2","ST","Turf",4,10,2015,58.49,62.6773096889313
4,"G",47,20,120,1089,1,"4",1200,"A","HV","Turf",1,11,2015,75.4,71.4077701007149
1,"G",17,38,111,1074,10,"5",1200,"C","HV","Turf",21,1,2015,70.54,71.7607295083919
1,"GF",15,55,111,1074,5,"5",1400,"C","ST","Turf",1,2,2015,83.19,82.9763592960072
2,"G",20,28,113,1068,14,"5",1400,"A+3","ST","Turf",21,2,2015,84.1,83.6381825284682
3,"G",20,42,111,1063,14,"5",1400,"C+3","ST","Turf",21,3,2015,84.03,83.9069549801538
1,"GF",25,19,116,1054,12,"5",1400,"B+2","ST","Turf",7,4,2015,83.37,82.28958137433
2,"GF",25,21,116,1048,13,"5",1400,"A+3","ST","Turf",3,5,2015,84.07,83.3838484909279
1,"GF",25,20,120,1050,1,"5",1000,"C","HV","Turf",17,6,2015,57.69,63.3287936923094
2,"GF",24,37,115,1038,9,"5",1200,"B+2","ST","Turf",12,7,2015,70.19,73.1844826836821
7,"G",124,25,126,1094,8,"HKG1",1200,"A","ST","Turf",15,2,2015,68.86,73.9007541416614
7,"GF",124,14,128,1083,6,"HKG2",1200,"A","ST","Turf",26,4,2015,69.48,70.5959737544442
3,"G",123,15,123,1085,6,"1",1200,"B","ST","Turf",6,9,2015,69.59,70.840971193413
9,"GF",123,15,122,1108,3,"HKG2",1200,"A","ST","Turf",25,10,2015,68.87,70.8823626741456
8,"G",121,49,123,1115,9,"G2",1200,"B+2","ST","Turf",21,11,2015,68.52,71.2605797713259
5,"G",119,26,126,1097,5,"G1",1200,"A","ST","Turf",13,12,2015,69.77,74.7219294660726
2,"GD",54,22,127,1212,9,"4",1650,"-","ST","AWT",10,1,2015,100.41,99.9817748606304
4,"GD",52,15,126,1210,8,"4",1200,"-","ST","AWT",7,2,2015,69.58,71.4474399901088
2,"GD",50,20,123,1207,12,"4",1200,"-","ST","AWT",1,3,2015,70.39,71.0958044556019
6,"FT",48,25,121,1194,10,"4",1200,"-","ST","AWT",25,3,2015,69.25,71.8017209486999
6,"GF",46,98,120,1187,9,"4",1200,"B","HV","Turf",15,4,2015,70.91,71.8011625146575
2,"GF",44,71,120,1179,8,"4",1200,"C+3","HV","Turf",29,4,2015,70.72,70.2854634052593
2,"GF",42,46,115,1190,2,"4",1000,"B","HV","Turf",13,5,2015,58.16,61.3953066457282
5,"GD",40,22,113,1198,4,"4",1200,"-","ST","AWT",7,6,2015,70.18,72.2833568001234
1,"GF",38,59,133,1189,11,"5",1000,"C","HV","Turf",17,6,2015,57.8,63.2271583143984
2,"GF",35,52,130,1196,14,"5",1400,"A","ST","Turf",1,7,2015,83.5,83.1243892387992
1,"G",30,10,123,1180,2,"5",1200,"B","ST","Turf",6,9,2015,70.16,72.1518282849473
2,"GD",30,9.6,123,1187,9,"5",1200,"-","ST","AWT",10,10,2015,69.7,71.9457970523329
3,"GD",29,9.4,122,1194,6,"5",1200,"-","ST","AWT",8,11,2015,69.43,72.7783215592186
2,"GD",28,15,121,1206,12,"5",1200,"-","ST","AWT",6,12,2015,70.97,72.0186168328303
1,"G",27,6.5,120,1212,1,"5",1200,"A+3","ST","Turf",27,12,2015,71.64,72.1775045684505
2,"WS",27,10,120,1208,8,"5",1200,"-","ST","AWT",17,1,2016,71.03,72.7241524034578
1,"G",25,18,119,1210,10,"5",1200,"C","ST","Turf",10,2,2016,71.39,72.3513735027528
1,"GD",23,22,116,1200,2,"5",1200,"-","ST","AWT",28,3,2016,70.08,72.6207347905632
1,"G",21,30,116,1195,2,"5",1400,"C+3","ST","Turf",14,5,2016,83.19,82.5896482716623
1,"GF",22,82,113,1157,8,"5",1800,"C","ST","Turf",1,1,2015,110.71,106.085108809212
1,"GD",19,47,115,1152,4,"5",1800,"-","ST","AWT",21,3,2015,109.67,106.591526323755
1,"G",16,66,113,1141,6,"5",1800,"A","HV","Turf",6,5,2015,111.42,107.721906404898
1,"G",13,99,112,1158,12,"5",1600,"C","ST","Turf",21,6,2015,97.76,97.82720279116
1,"G",13,54,112,1153,4,"5",2200,"C+3","HV","Turf",24,6,2015,139.33,126.816170123129
5,"GF",58,99,129,1089,7,"4",1400,"C","ST","Turf",1,1,2015,83.29,83.3477748624946
3,"G",56,44,129,1093,10,"4",1650,"C","HV","Turf",21,1,2015,101.23,101.629024313746
6,"G",56,9.4,131,1088,10,"4",1650,"A","HV","Turf",4,2,2015,102.56,102.289206468294
6,"G",55,17,128,1097,6,"4",1650,"A","HV","Turf",4,3,2015,101.69,102.302844398276
5,"G",54,10,128,1099,5,"4",1650,"C","HV","Turf",18,3,2015,101.73,102.379593093173
5,"GF",54,13,129,1104,7,"4S",1650,"C","HV","Turf",22,4,2015,102.22,101.875656726373
3,"GF",52,22,125,1088,11,"4",1650,"B","HV","Turf",13,5,2015,101.56,100.984214756815
5,"GF",50,56,125,1105,9,"4",1400,"A","ST","Turf",31,5,2015,83.54,83.475787755584
6,"GD",47,99,118,1099,10,"4",1650,"-","ST","AWT",1,7,2015,99.32,100.91919840017
6,"G",42,4,115,1085,3,"4",1650,"B","HV","Turf",16,9,2015,102.23,102.298502293019
2,"G",42,5.7,116,1087,5,"4",1650,"C","HV","Turf",23,9,2015,101.31,101.306824937998
4,"G",42,3.7,115,1098,3,"4",1650,"C+3","HV","Turf",22,10,2015,102.63,102.645235337948
4,"G",47,15,120,1097,11,"4",1650,"B","HV","Turf",11,11,2015,102.11,102.292550096309
4,"Y",47,11,120,1102,2,"4",1650,"A","HV","Turf",9,12,2015,104.18,102.820648752559
5,"G",47,47,121,1095,3,"4",1650,"A","HV","Turf",6,1,2016,102.25,102.358027223743
3,"G",46,19,120,1091,4,"4",1650,"C+3","HV","Turf",2,3,2016,103.65,101.407955670157
4,"G",44,81,118,1084,4,"4",1800,"C+3","HV","Turf",31,3,2016,111.44,108.395185385692
5,"GY",42,96,113,1085,8,"4",1600,"C","ST","Turf",10,4,2016,96.41,99.3071926904434
2,"G",40,9.6,133,1078,4,"5",1800,"A","HV","Turf",11,5,2016,110.26,108.351802411747
1,"GF",38,16,133,1091,6,"5",1800,"B","HV","Turf",15,6,2016,111.91,107.515700709521
1,"GF",40,6.2,133,1105,3,"5",1000,"C+3","ST","Turf",4,1,2015,57.64,64.6406859129296
1,"GD",38,20,131,1104,12,"5",1200,"-","ST","AWT",7,2,2015,69.66,71.756244889395
7,"G",75,39,129,1212,2,"3",1200,"A","HV","Turf",7,1,2015,70.83,70.5850708781263
7,"G",74,27,129,1217,10,"3",1200,"A","HV","Turf",4,2,2015,71.7,70.6853486962659
8,"G",72,30,128,1213,2,"3",1200,"C","HV","Turf",25,2,2015,71.25,70.7654924092294
5,"G",70,44,127,1207,5,"3",1200,"A+3","ST","Turf",29,3,2015,69.92,70.8410249654017
10,"GF",68,99,121,1205,6,"3",1200,"A","ST","Turf",26,4,2015,70.83,71.9854085672867
6,"GD",66,99,119,1198,10,"3",1200,"-","ST","AWT",27,5,2015,70.77,70.8045047698535
10,"GF",63,99,119,1208,14,"3",1200,"A+3","ST","Turf",7,6,2015,70.48,71.8802968946465
3,"G",60,16,133,1204,5,"4S",1200,"C+3","HV","Turf",24,6,2015,71.11,70.8661399318403
2,"G",59,22,129,1135,9,"4",1200,"C","HV","Turf",21,1,2015,70.42,70.8269911508584
